MARBLE_ID	REASON
00100801700052	kethiv
00101300300032	kethiv
00101400200036	kethiv
00101400800026	kethiv
00102403300002	kethiv
00102403300004	kethiv
00102502300012	kethiv
00102700300032	kethiv
00102702900006	kethiv
00102702900008	kethiv
00103001100008	kethiv
00103001100010	kethiv
00103600500010	kethiv
00103601400034	kethiv
00103902000028	kethiv
00104302800024	kethiv
00104302800026	kethiv
00104901000028	kethiv
00104901100010	kethiv
00104901100044	kethiv
00200400200010	kethiv
00200400200012	kethiv
00201600200002	kethiv
00201600200004	kethiv
00201600700036	kethiv
00202100800014	kethiv
00202200400020	kethiv
00202202600006	kethiv
00202701100024	kethiv
00202701100026	kethiv
00202802800012	kethiv
00202802800014	kethiv
00203201900044	kethiv
00203201900046	kethiv
00203700800046	kethiv
00203900400014	kethiv
00203903300034	kethiv
00300902200010	kethiv
00301102100030	kethiv
00301602100012	kethiv
00302100500004	kethiv
00302503000038	kethiv
00400101600004	kethiv
00401200300010	kethiv
00401403600028	kethiv
00401403600030	kethiv
00401601100030	kethiv
00402103200022	kethiv
00402103200024	kethiv
00402301300010	kethiv
00402600900026	kethiv
00403200700006	kethiv
00403400400026	kethiv
00403400400028	kethiv
00500203300024	kethiv
00500501000022	kethiv
00500700900048	kethiv
00500800200058	kethiv
00501301600014	kethiv
00501301600016	kethiv
00502100700014	kethiv
00502201500008	kethiv
00502201500010	kethiv
00502201500028	kethiv
00502201500030	kethiv
00502201600008	kethiv
00502201600010	kethiv
00502202000024	kethiv
00502202000026	kethiv
00502202000028	kethiv
00502202100008	kethiv
00502202100010	kethiv
00502202300006	kethiv
00502202400040	kethiv
00502202400042	kethiv
00502202500020	kethiv
00502202500022	kethiv
00502202600002	kethiv
00502202600004	kethiv
00502202600006	kethiv
00502202600008	kethiv
00502202600026	kethiv
00502202600028	kethiv
00502202600030	kethiv
00502202700014	kethiv
00502202700016	kethiv
00502202800008	kethiv
00502202900020	kethiv
00502202900022	kethiv
00502802700012	kethiv
