macula_id	gloss
o010010010011	in
o010010010012	beginning
o010010010021	he.created
o010010010031	God
o010010010041	(et)
o010010010051	the
o010010010052	heavens
o010010010061	and
o010010010062	(et)
o010010010071	the
o010010010072	earth
o010010020011	and
o010010020012	the
o010010020013	earth
o010010020021	it.was
o010010020031	formlessness
o010010020041	and
o010010020042	emptiness
o010010020051	and
o010010020052	darkness
o010010020061	[was].over
o010010020071	the.surface
o010010020081	of.the.deep
o010010020091	and
o010010020092	the.spirit
o010010020101	of.God
o010010020111	[was].hovering
o010010020121	over
o010010020131	the.surface
o010010020141	of
o010010020142	the.waters
o010010030011	and
o010010030012	he.said
o010010030021	God
o010010030031	let.it.be
o010010030041	light
o010010030051	and
o010010030052	it.was
o010010030061	light
o010010040011	and
o010010040012	he.saw
o010010040021	God
o010010040031	(et)
o010010040041	the
o010010040042	light
o010010040051	(dm).that
o010010040061	[it.was].good
o010010040071	and
o010010040072	he.separated
o010010040081	God
o010010040091	between
o010010040101	the
o010010040102	light
o010010040111	and
o010010040112	between
o010010040121	the
o010010040122	darkness
o010010050011	and
o010010050012	he.called
o010010050021	God
o010010050031	(to)
o010010050031ה	the
o010010050032	light
o010010050041	day
o010010050051	and
o010010050052	(to)
o010010050052ה	the
o010010050053	darkness
o010010050061	he.called
o010010050071	night
o010010050081	and
o010010050082	it.was
o010010050091	evening
o010010050101	and
o010010050102	it.was
o010010050111	morning
o010010050121	day
o010010050131	one
o010010060011	and
o010010060012	he.said
o010010060021	God
o010010060031	let.it.be
o010010060041	a.firmament
o010010060051	in
o010010060052	the.middle
o010010060061	of
o010010060062	the.waters
o010010060071	and
o010010060072	let.it.be
o010010060081	separating
o010010060091	between
o010010060101	waters
o010010060111	and
o010010060112	waters
o010010070011	and
o010010070012	he.made
o010010070021	God
o010010070031	(et)
o010010070041	the
o010010070042	firmament
o010010070051	and
o010010070052	he.separated
o010010070061	between
o010010070071	the
o010010070072	waters
o010010070081	which
o010010070091	[were].from
o010010070092	under
o010010070101	to
o010010070101ה	the
o010010070102	firmament
o010010070111	and
o010010070112	between
o010010070121	the
o010010070122	waters
o010010070131	which
o010010070141	[were].from
o010010070142	(above)
o010010070151	(to)
o010010070151ה	the
o010010070152	firmament
o010010070161	and
o010010070162	it.was
o010010070171	so
o010010080011	and
o010010080012	he.called
o010010080021	God
o010010080031	(to)
o010010080031ה	the
o010010080032	firmament
o010010080041	heaven
o010010080051	and
o010010080052	it.was
o010010080061	evening
o010010080071	and
o010010080072	it.was
o010010080081	morning
o010010080091	a.day
o010010080101	second
o010010090011	and
o010010090012	he.said
o010010090021	God
o010010090031	let.them.be.gathered
o010010090041	the
o010010090042	waters
o010010090051	from
o010010090052	under
o010010090061	the
o010010090062	heavens
o010010090071	to
o010010090081	a.place
o010010090091	one
o010010090101	and
o010010090102	let.it.appear
o010010090111	the.dry
o010010090112	land
o010010090121	and
o010010090122	it.was
o010010090131	so
o010010100011	and
o010010100012	he.called
o010010100021	God
o010010100031	(to).the
o010010100031ה	dry
o010010100032	land
o010010100041	earth
o010010100051	and.(to)
o010010100052	the.collecting
o010010100053	place
o010010100061	of
o010010100062	the.waters
o010010100071	he.called
o010010100081	seas
o010010100091	and
o010010100092	he.saw
o010010100101	God
o010010100111	(dm).that
o010010100121	[it.was].good
o010010110011	and
o010010110012	he.said
o010010110021	God
o010010110031	let.it.sprout
o010010110041	the
o010010110042	earth
o010010110051	vegetation
o010010110061	plant[s]
o010010110071	[which].bears.seed
o010010110081	seed
o010010110091	tree[s]
o010010110101	of.fruit
o010010110111	producing
o010010110121	fruit
o010010110131	to
o010010110132	kind
o010010110133	its
o010010110141	which
o010010110151	seed
o010010110152	its
o010010110161	[is].in
o010010110162	it
o010010110171	on
o010010110181	the
o010010110182	earth
o010010110191	and
o010010110192	it.was
o010010110201	so
o010010120011	and
o010010120012	it.brought.forth
o010010120021	the
o010010120022	earth
o010010120031	vegetation
o010010120041	plant[s]
o010010120051	[which].bears.seed
o010010120061	seed
o010010120071	to
o010010120072	kind
o010010120073	its
o010010120081	and
o010010120082	tree[s]
o010010120091	producing
o010010120101	fruit
o010010120111	which
o010010120121	seed
o010010120122	its
o010010120131	[was].in
o010010120132	it
o010010120141	to
o010010120142	kind
o010010120143	its
o010010120151	and
o010010120152	he.saw
o010010120161	God
o010010120171	(dm).that
o010010120181	[it.was].good
o010010130011	and
o010010130012	it.was
o010010130021	evening
o010010130031	and
o010010130032	it.was
o010010130041	morning
o010010130051	a.day
o010010130061	third
o010010140011	and
o010010140012	he.said
o010010140021	God
o010010140031	let.it.be
o010010140041	luminaries
o010010140051	in
o010010140052	the.firmament
o010010140061	of
o010010140062	the.heavens
o010010140071	to
o010010140072	separate
o010010140081	between
o010010140091	the
o010010140092	day
o010010140101	and
o010010140102	between
o010010140111	the
o010010140112	night
o010010140121	and
o010010140122	they.will.become
o010010140131	(into)
o010010140132	signs
o010010140141	and.(into)
o010010140142	appointed
o010010140143	times
o010010140151	and
o010010140152	(into)
o010010140153	days
o010010140161	and
o010010140162	years
o010010150011	and
o010010150012	they.will.become
o010010150021	(into)
o010010150022	luminaries
o010010150031	in
o010010150032	the.firmament
o010010150041	of
o010010150042	the.heavens
o010010150051	to
o010010150052	give.light
o010010150061	on
o010010150071	the
o010010150072	earth
o010010150081	and
o010010150082	it.was
o010010150091	so
o010010160011	and
o010010160012	he.made
o010010160021	God
o010010160031	(et)
o010010160041	the.two
o010010160051	the
o010010160052	luminaries
o010010160061	(the)
o010010160062	great
o010010160071	(et)
o010010160081	the
o010010160082	luminary
o010010160091	(the)
o010010160092	great
o010010160101	for
o010010160102	the.dominion
o010010160111	of
o010010160112	the.day
o010010160121	and
o010010160122	(et)
o010010160131	the
o010010160132	luminary
o010010160141	(the)
o010010160142	small
o010010160151	for
o010010160152	the.dominion
o010010160161	of
o010010160162	the.night
o010010160171	and
o010010160172	(et)
o010010160181	the
o010010160182	stars
o010010170011	and
o010010170012	he.set
o010010170021	
o010010170022	them
o010010170031	God
o010010170041	in
o010010170042	the.firmament
o010010170051	of
o010010170052	the.heavens
o010010170061	to
o010010170062	give.light
o010010170071	on
o010010170081	the
o010010170082	earth
o010010180011	and
o010010180012	to
o010010180013	rule
o010010180021	over
o010010180021ה	the
o010010180022	day
o010010180031	and
o010010180032	over
o010010180032ה	the
o010010180033	night
o010010180041	and
o010010180042	to
o010010180043	separate
o010010180051	between
o010010180061	the
o010010180062	light
o010010180071	and
o010010180072	between
o010010180081	the
o010010180082	darkness
o010010180091	and
o010010180092	he.saw
o010010180101	God
o010010180111	(dm).that
o010010180121	[it.was].good
o010010190011	and
o010010190012	it.was
o010010190021	evening
o010010190031	and
o010010190032	it.was
o010010190041	morning
o010010190051	a.day
o010010190061	fourth
o010010200011	and
o010010200012	he.said
o010010200021	God
o010010200031	let.them.swarm
o010010200041	the
o010010200042	waters
o010010200051	swarming.thing[s]
o010010200061	creature[s]
o010010200071	living
o010010200081	and
o010010200082	bird[s]
o010010200091	let.it.fly
o010010200101	above
o010010200111	the
o010010200112	earth
o010010200121	on
o010010200131	the.surface
o010010200141	of.the.firmament
o010010200151	of
o010010200152	the.heavens
o010010210011	and
o010010210012	he.created
o010010210021	God
o010010210031	(et)
o010010210041	the.sea
o010010210042	monsters
o010010210051	(the)
o010010210052	great
o010010210061	and
o010010210062	(et)
o010010210071	every
o010010210081	creature
o010010210091	(the)
o010010210092	living
o010010210101	[which]
o010010210102	creeps
o010010210111	which
o010010210121	they.swarmed
o010010210131	the
o010010210132	waters
o010010210141	to
o010010210142	kind
o010010210143	their
o010010210151	and
o010010210152	(et)
o010010210161	every
o010010210171	bird
o010010210181	of.wing
o010010210191	to
o010010210192	kind
o010010210193	its
o010010210201	and
o010010210202	he.saw
o010010210211	God
o010010210221	(dm).that
o010010210231	[it.was].good
o010010220011	and
o010010220012	he.blessed
o010010220021	
o010010220022	them
o010010220031	God
o010010220041	(cmp)
o010010220042	
o010010220051	be.fruitful
o010010220061	and
o010010220062	multiply
o010010220071	and
o010010220072	fill
o010010220081	(et)
o010010220091	the
o010010220092	waters
o010010220101	in
o010010220101ה	the
o010010220102	seas
o010010220111	and
o010010220112	the
o010010220113	bird[s]
o010010220121	let.it.multiply
o010010220131	on
o010010220131ה	the
o010010220132	earth
o010010230011	and
o010010230012	it.was
o010010230021	evening
o010010230031	and
o010010230032	it.was
o010010230041	morning
o010010230051	a.day
o010010230061	fifth
o010010240011	and
o010010240012	he.said
o010010240021	God
o010010240031	let.it.produce
o010010240041	the
o010010240042	earth
o010010240051	creature[s]
o010010240061	living
o010010240071	to
o010010240072	kind
o010010240073	its
o010010240081	livestock
o010010240091	and
o010010240092	creeping.thing[s]
o010010240101	and
o010010240102	animal[s]
o010010240111	of.[the].earth
o010010240121	to
o010010240122	kind
o010010240123	its
o010010240131	and
o010010240132	it.was
o010010240141	so
o010010250011	and
o010010250012	he.made
o010010250021	God
o010010250031	(et)
o010010250041	the.animal[s]
o010010250051	of
o010010250052	the.earth
o010010250061	to
o010010250062	kind
o010010250063	its
o010010250071	and
o010010250072	(et)
o010010250081	the
o010010250082	livestock
o010010250091	to
o010010250092	kind
o010010250093	its
o010010250101	and
o010010250102	(et)
o010010250111	every
o010010250121	(the).creeping.thing
o010010250131	of
o010010250132	the.ground
o010010250141	to
o010010250142	kind
o010010250143	its
o010010250151	and
o010010250152	he.saw
o010010250161	God
o010010250171	(dm).that
o010010250181	[it.was].good
o010010260011	and
o010010260012	he.said
o010010260021	God
o010010260031	let.us.make
o010010260041	humankind
o010010260051	(in)
o010010260052	image
o010010260053	our
o010010260061	according
o010010260062	to
o010010260063	our.likeness
o010010260071	so
o010010260072	that.they.may.rule
o010010260081	over
o010010260082	the.fish
o010010260091	of
o010010260092	the.sea
o010010260101	and
o010010260102	over
o010010260103	the.bird[s]
o010010260111	of
o010010260112	the.heavens
o010010260121	and
o010010260122	over
o010010260122ה	the
o010010260123	livestock
o010010260131	and
o010010260132	over
o010010260133	all
o010010260141	the
o010010260142	earth
o010010260151	and
o010010260152	over
o010010260153	every
o010010260161	(the).creeping
o010010260162	thing
o010010260171	[which]
o010010260172	creeps
o010010260181	on
o010010260191	the
o010010260192	earth
o010010270011	and
o010010270012	he.created
o010010270021	God
o010010270031	(et)
o010010270041	(the)
o010010270042	humankind
o010010270051	(in).his
o010010270052	own
o010010270053	image
o010010270061	(in).the
o010010270062	image
o010010270071	of.God
o010010270081	he.created
o010010270091	
o010010270092	it
o010010270101	male
o010010270111	and
o010010270112	female
o010010270121	he.created
o010010270131	
o010010270132	them
o010010280011	and
o010010280012	he.blessed
o010010280021	
o010010280022	them
o010010280031	God
o010010280041	and
o010010280042	he.said
o010010280051	to
o010010280052	them
o010010280061	God
o010010280071	be.fruitful
o010010280081	and
o010010280082	multiply
o010010280091	and
o010010280092	fill
o010010280101	(et)
o010010280111	the
o010010280112	earth
o010010280121	and
o010010280122	subdue
o010010280123	it
o010010280131	and
o010010280132	rule
o010010280141	over
o010010280142	the.fish
o010010280151	of
o010010280152	the.sea
o010010280161	and
o010010280162	over
o010010280163	the.bird[s]
o010010280171	of
o010010280172	the.heavens
o010010280181	and
o010010280182	over
o010010280183	every
o010010280191	animal
o010010280201	[which]
o010010280202	creeps
o010010280211	on
o010010280221	the
o010010280222	earth
o010010290011	and
o010010290012	he.said
o010010290021	God
o010010290031	here!
o010010290041	I.give
o010010290051	to
o010010290052	you
o010010290061	(et)
o010010290071	every
o010010290081	plant
o010010290091	[which].bears.seed
o010010290101	seed
o010010290111	which
o010010290121	[is].on
o010010290131	the.surface
o010010290141	of.all
o010010290151	the
o010010290152	earth
o010010290161	and
o010010290162	(et)
o010010290171	every
o010010290181	(the)
o010010290182	tree
o010010290191	which
o010010290201	[is].in
